伝票日付,売上日付,支払日付,業者CD,業者名,伝票区分CD,伝票区分名,品名CD,品名,正味重量,数量,単位CD,単位名,単価,金額,受入番号,集計項目CD,集計項目
2025-03-31,2025/03/31(月),2025/03/31(月),26,ｼｰﾒﾝｽﾍﾙｽｹｱ,1,売上,1,混合廃棄物A,"1,500","1,500",3,kg,60,"90,000",46623,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),81,市川工業,1,売上,2,混合廃棄物B,940,940,3,kg,70,"65,800",46703,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),159,日本福祉住環境ｻｰﾋﾞｽ,1,売上,1,混合廃棄物A,"2,370",9,2,m3,"10,000","90,000",46720,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),159,日本福祉住環境ｻｰﾋﾞｽ,1,売上,34,本畳,160,8,11,枚,"2,000","16,000",46720,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),214,近藤土木,1,売上,1,混合廃棄物A,340,340,3,kg,65,"22,100",46683,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),240,山王ｽﾍﾟｰｽ&ﾚﾝﾀﾙ,1,売上,1,混合廃棄物A,830,830,3,kg,65,"53,950",46711,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),272,新建産業,1,売上,1,混合廃棄物A,170,170,3,kg,65,"11,050",46612,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),272,新建産業,1,売上,1,混合廃棄物A,360,360,3,kg,65,"23,400",46690,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),281,ﾒﾀｳｫｰﾀｰ,1,売上,29,木くず,520,2,2,m3,"6,000","12,000",46691,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),281,ﾒﾀｳｫｰﾀｰ,1,売上,38,廃ﾌﾟﾗｽﾁｯｸ類,,3,2,m3,"10,000","30,000",46691,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),281,ﾒﾀｳｫｰﾀｰ,1,売上,109,運搬費,,1,7,台,"35,000","35,000",46691,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),289,ｼﾃｨﾛｼﾞｽﾃｨｯｸｽ,1,売上,1,混合廃棄物A,270,270,3,kg,65,"17,550",46707,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),291,ｵﾌｨｽﾋﾞﾙﾄﾞ,1,売上,1,混合廃棄物A,50,50,3,kg,65,"3,250",46722,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),291,ｵﾌｨｽﾋﾞﾙﾄﾞ,1,売上,29,木くず,50,50,3,kg,35,"1,750",46722,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),291,ｵﾌｨｽﾋﾞﾙﾄﾞ,1,売上,30,選別,670,670,3,kg,70,"46,900",46678,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),291,ｵﾌｨｽﾋﾞﾙﾄﾞ,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,160,160,3,kg,0,0,46678,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),302,ﾖｼﾓﾘ,1,売上,1,混合廃棄物A,780,780,3,kg,53,"41,340",46613,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),302,ﾖｼﾓﾘ,1,売上,3,混合廃棄物C,"2,130","2,130",3,kg,58,"123,540",46615,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),311,泉宣宏社,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,310,310,3,kg,0,0,46741,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),326,ｱﾍﾞﾏｷ,1,売上,2,混合廃棄物B,600,600,3,kg,70,"42,000",46644,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,480,480,3,kg,45,"21,600",46675,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),4110,大野工業,1,売上,2,混合廃棄物B,10,10,3,kg,70,700,46695,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,710,710,3,kg,45,"31,950",46659,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),1083,日栄興業,1,売上,1,混合廃棄物A,"1,000","1,000",3,kg,60,"60,000",46685,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),3038,東京交通ｻｰﾋﾞｽ,1,売上,1,混合廃棄物A,290,290,3,kg,65,"18,850",46661,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3122,三井不動産ﾎﾃﾙﾏﾈｼﾞﾒﾝﾄ,1,売上,1,混合廃棄物A,360,360,3,kg,54,"19,440",46619,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),3140,ｻﾞｲﾏｯｸｽ,1,売上,1,混合廃棄物A,10,10,3,kg,58,580,46614,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3140,ｻﾞｲﾏｯｸｽ,1,売上,46,ﾀﾞﾝﾎﾞｰﾙ,80,80,3,kg,0,0,46614,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3140,ｻﾞｲﾏｯｸｽ,2,支払,69,GD,110,110,3,kg,14,"1,540",46614,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3147,中央建物,1,売上,1,混合廃棄物A,260,260,3,kg,54,"14,040",46653,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),3187,ﾐﾘﾏﾆｱ（MILLIMANIA）,1,売上,1,混合廃棄物A,280,280,3,kg,65,"18,200",46658,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),3497,ﾆｭｰﾊｳｼﾞﾝｸﾞ,1,売上,15,混合廃棄物(反物),800,800,3,kg,65,"52,000",46739,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3497,ﾆｭｰﾊｳｼﾞﾝｸﾞ,1,売上,25,石膏ﾎﾞｰﾄﾞB,340,340,3,kg,45,"15,300",46739,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),2919,ｱﾙﾌｧﾌﾟﾗﾝﾆﾝｸﾞ,1,売上,2,混合廃棄物B,430,430,3,kg,70,"30,100",46630,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),3742,大成有楽不動産（ﾚｿﾞﾝﾃﾞｨﾚｸｼｮﾝ）,1,売上,1,混合廃棄物A,780,780,3,kg,54,"42,120",46629,1.0,A（事業）
